path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_18_chart_spec/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_it.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_th.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_de.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_en.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_es.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_it.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_th.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_19_continuity_decision/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_de.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_en.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_es.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_it.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_th.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_20_continuity_execution/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_de.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_en.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_es.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_it.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_th.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_21_rewrite/lane_zh-hant.yaml,0.3,0.3,0.35
